Date,Latitude,Longitude,Temperature_C
02-04-2025,19.5,84.5,36.14132
02-04-2025,20.5,80.5,35.422104
02-04-2025,20.5,81.5,34.915382
02-04-2025,20.5,82.5,37.928078
02-04-2025,20.5,83.5,37.61265
02-04-2025,20.5,84.5,36.85126
02-04-2025,21.5,80.5,33.25153
02-04-2025,21.5,81.5,34.548157
02-04-2025,21.5,82.5,35.340656
02-04-2025,21.5,83.5,37.498615
02-04-2025,21.5,84.5,37.3766
02-04-2025,22.5,80.5,32.660004
02-04-2025,22.5,81.5,33.613255
02-04-2025,22.5,82.5,34.582497
02-04-2025,22.5,83.5,35.51336
02-04-2025,22.5,84.5,36.325264
02-04-2025,23.5,80.5,32.715572
02-04-2025,23.5,81.5,32.007607
02-04-2025,23.5,82.5,33.47519
02-04-2025,23.5,83.5,34.276657
02-04-2025,23.5,84.5,35.526733
02-04-2025,24.5,80.5,34.24343
02-04-2025,24.5,81.5,33.687294
02-04-2025,24.5,82.5,34.233887
02-04-2025,24.5,83.5,34.846252
02-04-2025,24.5,84.5,34.83017
03-04-2025,17.5,80.5,35.890957
03-04-2025,17.5,81.5,35.173935
03-04-2025,17.5,82.5,34.18651
03-04-2025,17.5,83.5,34.575092
03-04-2025,17.5,84.5,
03-04-2025,18.5,80.5,35.695312
03-04-2025,18.5,81.5,34.98967
03-04-2025,18.5,82.5,35.306396
03-04-2025,18.5,83.5,35.221474
03-04-2025,18.5,84.5,35.28384
03-04-2025,19.5,80.5,34.223763
03-04-2025,19.5,81.5,36.28264
03-04-2025,19.5,82.5,35.42633
03-04-2025,19.5,83.5,36.2356
03-04-2025,19.5,84.5,36.17325
03-04-2025,20.5,80.5,34.392662
03-04-2025,20.5,81.5,34.003937
03-04-2025,20.5,82.5,37.500374
03-04-2025,20.5,83.5,37.586494
03-04-2025,20.5,84.5,36.781002
03-04-2025,21.5,80.5,32.38462
03-04-2025,21.5,81.5,33.844254
03-04-2025,21.5,82.5,35.580063
03-04-2025,21.5,83.5,37.641514
03-04-2025,21.5,84.5,37.32209
03-04-2025,22.5,80.5,32.330418
03-04-2025,22.5,81.5,33.140858
03-04-2025,22.5,82.5,34.86152
03-04-2025,22.5,83.5,35.493843
03-04-2025,22.5,84.5,35.727097
03-04-2025,23.5,80.5,33.325222
03-04-2025,23.5,81.5,33.140144
03-04-2025,23.5,82.5,33.9317
03-04-2025,23.5,83.5,34.668415
03-04-2025,23.5,84.5,35.860798
03-04-2025,24.5,80.5,34.87491
03-04-2025,24.5,81.5,34.82064
03-04-2025,24.5,82.5,35.04471
03-04-2025,24.5,83.5,35.85273
03-04-2025,24.5,84.5,36.118355
04-04-2025,17.5,80.5,35.106506
04-04-2025,17.5,81.5,34.604633
04-04-2025,17.5,82.5,33.334267
04-04-2025,17.5,83.5,34.050697
04-04-2025,17.5,84.5,
04-04-2025,18.5,80.5,35.45061
04-04-2025,18.5,81.5,34.222874
04-04-2025,18.5,82.5,34.48416
04-04-2025,18.5,83.5,34.396793
04-04-2025,18.5,84.5,34.22584
04-04-2025,19.5,80.5,35.49263
04-04-2025,19.5,81.5,36.24812
04-04-2025,19.5,82.5,33.869167
04-04-2025,19.5,83.5,34.694405
04-04-2025,19.5,84.5,34.653786
04-04-2025,20.5,80.5,36.56681
04-04-2025,20.5,81.5,34.68716
04-04-2025,20.5,82.5,36.048073
04-04-2025,20.5,83.5,36.189404
04-04-2025,20.5,84.5,35.51127
04-04-2025,21.5,80.5,36.182095
04-04-2025,21.5,81.5,35.14221
04-04-2025,21.5,82.5,35.382664
04-04-2025,21.5,83.5,36.263725
04-04-2025,21.5,84.5,35.60571
04-04-2025,22.5,80.5,36.347
04-04-2025,22.5,81.5,35.148186
04-04-2025,22.5,82.5,34.919323
04-04-2025,22.5,83.5,34.390762
